09:20:55.500 
 _____     _ _ _
|_   _| __(_) (_)_   _ _ __ ___   | \ | | ___ | |_ ___  ___
  | || '__| | | | | | | '_ ` _ \  |  \| |/ _ \| __/ _ \/ __|
  | || |  | | | | |_| | | | | | | | |\  | (_) | ||  __/\__ \
  |_||_|  |_|_|_|\__,_|_| |_| |_| |_| \_|\___/ \__\___||___/ 0.102.1

09:20:55.500 📦 Versions:    app=0.102.1 db=234 sync=36 clipper=1.0
09:20:55.500 🔧 Build:       2026-03-08 08:46:44 (8ac9daa5d3)
09:20:55.500 📂 Data dir:    /home/darkhan/.local/share/trilium-data
09:20:55.500 ⏰ UTC time:    2026-04-03 00:20:55
09:20:55.501 💻 CPU:         12th Gen Intel(R) Core(TM) i5-12450H (12-core @ 3988 Mhz)
09:20:55.501 💾 DB size:     8.3 MiB
09:20:55.501 
09:20:55.526 Becca (note cache) load took 21ms
09:20:55.539 Updating attribute _help_Un4wj2Mak2Ky_ldocName from "User Guide/User Guide/Installation & Setup/Server Installation/Nix flake.clone" to "User Guide/User Guide/Installation & Setup/Desktop Installation/Nix flake"
09:20:55.546 Updating attribute _help_Un4wj2Mak2Ky_liconClass from "bx bx-file" to "bx bxl-tux"
09:20:55.547 Updating attribute _help_Un4wj2Mak2Ky_ldocName from "User Guide/User Guide/Installation & Setup/Desktop Installation/Nix flake" to "User Guide/User Guide/Installation & Setup/Server Installation/Nix flake.clone"
09:20:55.547 Updating attribute _help_Un4wj2Mak2Ky_liconClass from "bx bxl-tux" to "bx bx-file"
09:20:55.560 Trusted reverse proxy: false
09:20:55.560 App HTTP server starting up at port 37840
09:20:55.598 Registered global shortcut Ctrl+Alt+P for action createNoteIntoInbox
09:20:55.602 Listening on port 37840
09:20:55.836 CSRF token generation: Successful
09:20:55.947 200 GET /api/options with 8794 bytes took 1ms
09:20:55.949 200 GET /api/keyboard-actions with 23563 bytes took 1ms
09:20:55.950 200 GET /api/tree with 11205 bytes took 0ms
09:20:55.951 200 GET /api/autocomplete/notesCount with 3 bytes took 0ms
09:20:55.953 200 GET /api/options/locales with 1264 bytes took 0ms
09:20:55.991 200 GET /api/script/widgets with 2 bytes took 1ms
09:20:56.146 200 GET /api/keyboard-shortcuts-for-notes with 2 bytes took 0ms
09:20:56.147 200 GET /api/system-checks with 27 bytes took 0ms
09:20:56.148 200 POST /api/tree/load with 8943 bytes took 1ms
09:20:56.148 200 POST /api/tree/load with 15430 bytes took 0ms
09:20:56.195 200 POST /api/tree/load with 10245 bytes took 1ms
09:20:56.195 200 POST /api/tree/load with 10275 bytes took 0ms
09:20:56.206 Slow 200 GET /api/recent-changes/undefined with 2 bytes took 10ms
09:20:56.207 200 GET /api/notes/root/metadata with 181 bytes took 0ms
09:20:56.210 200 GET /api/search/note.parents.noteId%3D%22root%22%20%23!archived with 56 bytes took 2ms
09:20:56.211 200 GET /api/notes/root/attachments with 2 bytes took 0ms
09:20:56.212 200 POST /api/tree/load with 15430 bytes took 0ms
09:20:56.214 200 POST /api/tree/load with 23075 bytes took 1ms
09:20:56.232 200 GET /api/notes/root/attachments with 2 bytes took 1ms
09:20:56.232 200 GET /api/note-map/root/backlink-count with 11 bytes took 0ms
09:20:56.268 200 GET /api/notes/root with 315 bytes took 1ms
09:20:56.292 200 GET /api/notes/_template_text_snippet with 344 bytes took 1ms
09:20:56.305 200 GET /api/notes/_template_list_view with 323 bytes took 1ms
09:20:56.307 200 GET /api/notes/_template_grid_view with 322 bytes took 0ms
09:20:56.308 200 GET /api/notes/_template_calendar with 325 bytes took 1ms
09:20:56.308 200 GET /api/notes/_template_table with 320 bytes took 0ms
09:20:56.310 200 GET /api/notes/_template_geo_map with 320 bytes took 1ms
09:20:56.311 200 GET /api/notes/_template_board with 325 bytes took 0ms
09:20:56.314 200 GET /api/notes/_template_presentation with 331 bytes took 0ms
09:20:56.319 200 GET /api/search/%23workspace%20%23!template with 2 bytes took 1ms
09:20:56.320 200 GET /api/search-templates with 2 bytes took 1ms
09:20:56.322 200 GET /api/autocomplete?query=&activeNoteId=root&fastSearch=true with 6995 bytes took 1ms
09:20:58.150 200 GET /api/script/startup with 2 bytes took 2ms
09:20:59.558 Slow query took 27ms: SELECT COUNT(1) FROM notes
09:20:59.573 Table counts: notes: 753, revisions: 637, attachments: 3, branches: 768, attributes: 684, etapi_tokens: 0, blobs: 666
09:20:59.602 All consistency checks passed with no errors detected (took 71ms)
09:21:06.050 204 PUT /api/options with 0 bytes took 1ms
09:21:06.064 200 GET /api/notes/43XxFvg1YVKr/blob with 2696 bytes took 1ms
09:21:06.077 200 GET /api/notes/43XxFvg1YVKr/metadata with 181 bytes took 1ms
09:21:06.077 200 GET /api/search/note.parents.noteId%3D%2243XxFvg1YVKr%22%20%23!archived with 2 bytes took 0ms
09:21:06.078 200 GET /api/notes/43XxFvg1YVKr/attachments with 2 bytes took 0ms
09:21:06.079 200 GET /api/notes/43XxFvg1YVKr/attachments with 2 bytes took 1ms
09:21:06.079 200 GET /api/note-map/43XxFvg1YVKr/backlink-count with 11 bytes took 0ms
09:21:06.129 200 GET /api/search/%23textSnippet with 2 bytes took 0ms
09:21:06.447 JS Info: CKEditor state changed to ready
09:25:55.534 Creating backup...
09:25:55.582 Created backup at /home/darkhan/.local/share/trilium-data/backup/backup-daily.db
09:26:18.466 204 PUT /api/options with 0 bytes took 1ms
09:26:18.475 200 GET /api/notes/jPaQ6E3aB98k/blob with 2323 bytes took 1ms
09:26:18.483 200 GET /api/notes/jPaQ6E3aB98k/metadata with 181 bytes took 0ms
09:26:18.484 200 GET /api/notes/jPaQ6E3aB98k/attachments with 2 bytes took 1ms
09:26:18.485 200 GET /api/notes/jPaQ6E3aB98k/attachments with 2 bytes took 1ms
09:26:18.485 200 GET /api/note-map/jPaQ6E3aB98k/backlink-count with 11 bytes took 0ms
09:27:01.519 204 PUT /api/options with 0 bytes took 1ms
09:27:01.528 200 GET /api/notes/Jr8B1iAsrQQ3/blob with 2991 bytes took 0ms
09:27:01.538 200 GET /api/notes/Jr8B1iAsrQQ3/metadata with 181 bytes took 1ms
09:27:01.538 200 GET /api/notes/Jr8B1iAsrQQ3/attachments with 2 bytes took 0ms
09:27:01.539 200 GET /api/notes/Jr8B1iAsrQQ3/attachments with 2 bytes took 1ms
09:27:01.539 200 GET /api/note-map/Jr8B1iAsrQQ3/backlink-count with 11 bytes took 0ms
09:27:03.485 204 PUT /api/branches/root_Np6kBBYj6k9k/expanded/0 with 0 bytes took 1ms
09:27:03.729 200 GET /api/tree?subTreeNoteId=r4CrYXkFlduq with 12579 bytes took 0ms
09:27:03.951 204 PUT /api/branches/root_r4CrYXkFlduq/expanded/1 with 0 bytes took 1ms
09:27:06.061 200 GET /api/tree?subTreeNoteId=QUut3rMrYWLm with 12254 bytes took 0ms
